-0.05,-0.05
0,0
0,0
-0.05,-0.05
0,0
0,0
0,-0.05
-0.05,0
0,0
0,0
0,0
0,-0.05
0,0
0,0
0,0
0,0
-0.05,-0.05
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-0.05
0,0
0,0
0,0
0,0
0,0
-0.05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.05,0
0,0
0.1,0
0.1,0.05
0.15,0.05
0.2,0.1
0.15,0.05
0.2,0.1
0.25,0.1
0.4,0.1
0.2,0.05
0.3,0.05
0.3,0.1
0.3,0.05
0.3,0.1
0.5,0.1
0.45,0.15
0.4,0.1
0.4,0.1
0.55,0.15
0.4,0.15
0.45,0.15
0.15,0.05
0.55,0.15
0.5,0.15
0.55,0.15
0.55,0.15
0.55,0.2
0.65,0.2
0.55,0.1
0.85,0.25
0.75,0.2
0.6,0.1
0.6,0.15
0.65,0.1
0.45,0.05
0.45,0.1
0.65,0.1
0.6,0.1
0.75,0.15
1,0.15
0.65,0.1
0.8,0.15
0.7,0.15
0.7,0.1
0.65,0.15
0.6,0.1
0.45,0.1
0.6,0.15
0.6,0.15
0.35,0.05
0.35,0.1
0.4,0.05
0.35,0.1
0.35,0.05
0.2,0.05
0.25,0.05
0.15,0
0.15,0.05
0.1,0
0.05,0
0,0
0,0
0.05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.05
0,0
0,0
0,0
0,0
0,0.05
0,0.1
0,0.1
0,0.05
0,0.1
-0.05,0.1
0,0.15
-0.05,0.1
-0.1,0.15
-0.05,0.15
-0.1,0.1
-0.1,0.1
-0.15,0.1
-0.1,0.15
-0.15,0.15
-0.15,0.1
-0.15,0.15
-0.15,0.1
-0.3,0.3
-0.15,0.1
-0.2,0.15
-0.2,0.15
-0.15,0.1
-0.2,0.1
-0.15,0.15
-0.2,0.1
-0.15,0.1
-0.25,0.1
-0.2,0.1
-0.25,0.1
-0.25,0.1
-0.2,0.05
-0.25,0.1
-0.3,0.05
-0.2,0.05
-0.3,0.05
-0.25,0.05
-0.2,0
-0.25,0.05
-0.25,0.05
-0.15,0.05
-0.25,0
-0.15,0.05
-0.2,0
-0.1,0
-0.15,0
-0.1,0
-0.05,0
-0.1,0
-0.05,0
-0.05,0
0,0
-0.05,0
0,0
0,0
-0.05,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
